Hete_Meas	NameFile	gGoal	gBulkMua	gBulkMus	PertMua	PertMus	gDepth	gVol	Goal	gDir	LinMua	LinMus	BulkMua	BulkMus	Depth
156	Measure0156	E	0.08	12	0.16	12	0.5	1	CROSS	hor	NO	NO	NO	NO	OK
158	Measure0158	E	0.08	12	0.16	12	1.5	1	depth_effect small	ver	NO	NO	NO	NO	OK
159	Measure0159	E	0.08	12	0.16	12	1.5	1	CROSS	hor	NO	NO	NO	NO	OK
161	Measure0161	E	0.08	12	0.16	12	2	1	depth_effect small	ver	NO	NO	NO	NO	OK
162	Measure0162	E	0.08	12	0.16	12	2	1	CROSS	hor	NO	NO	NO	NO	OK
164	Measure0164	E	0.08	12	0.16	12	2.5	1	depth_effect small	ver	NO	NO	NO	NO	OK
165	Measure0165	E	0.08	12	0.16	12	2.5	1	CROSS	hor	NO	NO	NO	NO	OK
167	Measure0167	E	0.08	12	0.16	12	3	1	depth_effect small	ver	NO	NO	NO	NO	OK
168	Measure0168	E	0.08	12	0.16	12	3	1	CROSS	hor	NO	NO	NO	NO	OK
170	Measure0170	E	0.08	12	0.16	12	4	1	depth_effect small	ver	NO	NO	NO	NO	OK
171	Measure0171	E	0.08	12	0.16	12	4	1	CROSS	hor	NO	NO	NO	NO	OK
173	Measure0173	E	0.08	12	0.16	12	4.5	1	depth_effect small	ver	NO	NO	NO	NO	OK
174	Measure0174	E	0.08	12	0.16	12	4.5	1	CROSS	hor	NO	NO	NO	NO	OK
177	Measure0177	F	0.08	12	0.16	12	0	6	depth_effect large	ver	NO	NO	NO	NO	OK
178	Measure0178	F	0.08	12	0.16	12	0	6	CROSS	hor	NO	NO	NO	NO	OK
180	Measure0180	F	0.08	12	0.16	12	0.5	6	depth_effect large	ver	NO	NO	NO	NO	OK
181	Measure0181	F	0.08	12	0.16	12	0.5	6	CROSS	hor	NO	NO	NO	NO	OK
183	Measure0183	F	0.08	12	0.16	12	1.5	6	depth_effect large	ver	NO	NO	NO	NO	OK
184	Measure0184	F	0.08	12	0.16	12	1.5	6	CROSS	hor	NO	NO	NO	NO	OK
186	Measure0186	F	0.08	12	0.16	12	2	6	depth_effect large	ver	NO	NO	NO	NO	OK
187	Measure0187	F	0.08	12	0.16	12	2	6	CROSS	hor	NO	NO	NO	NO	OK
189	Measure0189	F	0.08	12	0.16	12	2.5	6	depth_effect large	ver	NO	NO	NO	NO	OK
190	Measure0190	F	0.08	12	0.16	12	2.5	6	CROSS	hor	NO	NO	NO	NO	OK
192	Measure0192	F	0.08	12	0.16	12	3	6	depth_effect large	ver	NO	NO	NO	NO	OK
193	Measure0193	F	0.08	12	0.16	12	3	6	CROSS	hor	NO	NO	NO	NO	OK
195	Measure0195	F	0.08	12	0.16	12	4	6	depth_effect large	ver	NO	NO	NO	NO	OK
196	Measure0196	F	0.08	12	0.16	12	4	6	CROSS	hor	NO	NO	NO	NO	OK
198	Measure0198	F	0.08	12	0.16	12	4.5	6	depth_effect large	ver	NO	NO	NO	NO	OK
199	Measure0199	F	0.08	12	0.16	12	4.5	6	CROSS	hor	NO	NO	NO	NO	OK
